Categoría,Día / Sección,Plato / Ingrediente,Descripción / Cantidad
MENÚ SEMANAL,Lunes - Desayuno,Arepa con Perico Criollo,Arepa de maíz con huevos revueltos con tomate cebolla pimentón y queso blanco paisa
MENÚ SEMANAL,Lunes - Almuerzo,Pabellón Criollo Fit,Carne mechada magra al sofrito de ají dulce caraotas negras arroz y tajadas al horno
MENÚ SEMANAL,Lunes - Cena,Arepa de Auyama y Queso,Arepa de auyama con queso fresco aguacate y pollo desmenuzado
MENÚ SEMANAL,Martes - Desayuno,Pisca Andina Ligera,Caldo andino con huevo pochado papa cilantro fresco y queso blanco
MENÚ SEMANAL,Martes - Almuerzo,Asado Negro Magro,Muchacho redondo al papelón con ají dulce yuca al vapor guasacaca y ensalada
MENÚ SEMANAL,Martes - Cena,Omelette Criollo,Omelette de claras con pimentón tomate cebolla y queso telita
MENÚ SEMANAL,Miércoles - Desayuno,Arepa Reina Pepiada Fit,Pollo desmenuzado aguacate yogur griego y cilantro
MENÚ SEMANAL,Miércoles - Almuerzo,Pollo Guisado Criollo,Pollo con papas zanahorias sofrito criollo arroz blanco y plátano horneado
MENÚ SEMANAL,Miércoles - Cena,Empanadas Horneadas de Cazón,Empanadas horneadas de cazón con ensalada fresca de tomate y pepino
MENÚ SEMANAL,Jueves - Desayuno,Arepitas de Plátano al Budare,Arepitas de plátano verde/maduro con queso blanco bajo en sal y aguacate
MENÚ SEMANAL,Jueves - Almuerzo,Pescado a la Margariteña,Filete de pescado al horno tostones horneados y ensalada rallada
MENÚ SEMANAL,Jueves - Cena,Crema de Auyama y Calabacín,Crema casera con queso paisa en cubos y cilantro
MENÚ SEMANAL,Viernes - Desayuno,Empanadas Horneadas de Mechada,Empanadas horneadas de carne mechada con jugo natural sin azúcar
MENÚ SEMANAL,Viernes - Almuerzo,Fajitas Criollas de Carne,Carne mechada salteada con vegetales caraotas negras y plátano
MENÚ SEMANAL,Viernes - Cena,Cachapas de Budare Fit,Cachapas de maíz tierno con queso de mano o telita bajo en sal
MENÚ SEMANAL,Sábado - Desayuno,Mandocas Horneadas de Plátano,Mandocas horneadas con queso y anís dulce acompañadas de huevos
MENÚ SEMANAL,Sábado - Almuerzo,Parrilla / Pollo en Vara Criollo,Pollo asado con guasacaca yuca sancochada y ensalada de aguacate
MENÚ SEMANAL,Sábado - Cena,Arepa Domino Fit,Arepa con caraotas negras guisadas sin grasa queso blanco y aguacate
MENÚ SEMANAL,Domingo - Desayuno,Desayuno Dominical Surtido,Arepas surtidas con jamón de pavo queso perico aguacate y frutas
MENÚ SEMANAL,Domingo - Almuerzo,Sancocho Criollo de Res/Gallina,Sopa tradicional con mazorca yuca auyama oumo y carne magra
MENÚ SEMANAL,Domingo - Cena,Consomé de Pollo y Arepita,Caldo ligero de pollo con verduras picadas y arepìta a la plancha
LISTA COMPRAS,Proteínas,Carne para Mechar (Falda/Muchacho),2 kg
LISTA COMPRAS,Proteínas,Carne Asado Negro (Muchacho Redondo),1.5 kg
LISTA COMPRAS,Proteínas,Pechugas y Muslos de Pollo,2.5 kg
LISTA COMPRAS,Proteínas,Filetes de Pescado (Tilapia/Cazón),1 kg
LISTA COMPRAS,Proteínas,Carne magra para sopa / bistec,1 kg
LISTA COMPRAS,Proteínas,Huevos Frescos,1 cartón (30 unidades)
LISTA COMPRAS,Proteínas,Pechuga de Pavo baja en sodio,400 g
LISTA COMPRAS,Vegetales & Aliños,Ají Dulce Venezolano,500 g
LISTA COMPRAS,Vegetales & Aliños,Pimentones rojos y verdes,1 kg
LISTA COMPRAS,Vegetales & Aliños,Cebollas blancas y moradas,2 kg
LISTA COMPRAS,Vegetales & Aliños,Ajo fresco,2 cabezas
LISTA COMPRAS,Vegetales & Aliños,Cilantro y Perejil fresco,3 manojos
LISTA COMPRAS,Vegetales & Aliños,Tomates maduros para perico/ensalada,2 kg
LISTA COMPRAS,Vegetales & Aliños,Aguacates maduros,6 unidades
LISTA COMPRAS,Vegetales & Aliños,Auyama / Calabaza,1 grande
LISTA COMPRAS,Vegetales & Aliños,Plátanos maduros y verdes,10 unidades (6 maduros / 4 verdes)
LISTA COMPRAS,Vegetales & Aliños,Yuca fresca/congelada,2 kg
LISTA COMPRAS,Vegetales & Aliños,Papas y Zanahorias,2 kg papas / 1 kg zanahorias
LISTA COMPRAS,Vegetales & Aliños,Repollo blanco/morado,1 cabeza
LISTA COMPRAS,Vegetales & Aliños,Mazorcas de Maíz Dulce,4 unidades
LISTA COMPRAS,Granos & Harinas,Harina de Maíz Precocida (PAN),2 kg
LISTA COMPRAS,Granos & Harinas,Caraotas Negras y Blancas,1 kg negras / 500g blancas
LISTA COMPRAS,Granos & Harinas,Arroz blanco o integral,2 kg
LISTA COMPRAS,Granos & Harinas,Maíz dulce en lata/congelado,2 latas
LISTA COMPRAS,Granos & Harinas,Afrecho / Chía para arepas,250 g
LISTA COMPRAS,Lácteos & Quesos,Queso blanco bajo en sal (Paisa/Carora),1 kg
LISTA COMPRAS,Lácteos & Quesos,Queso de Mano / Telita / Guayanés,500 g
LISTA COMPRAS,Lácteos & Quesos,Yogurt Griego Natural sin azúcar,500 g
LISTA COMPRAS,Lácteos & Quesos,Mantequilla ligera / Ghee,1 frasco
LISTA COMPRAS,Especias,Papelón rallado / Panela,250 g
LISTA COMPRAS,Especias,Comino y Onoto en grano,110 g
LISTA COMPRAS,Especias,Aceite de Oliva virgen extra,1 botella (750ml)
